SEED,ID_UNIQUE,LOC_LONG,LOC_LAT,X,Y,CLUSTER,DEPOT,index,NATURE,ACTI_NOM,TYPE_LIEU_INTERV,RUE,RUE_INTERSECTION1,RUE_INTERSECTION2,ARRONDISSEMENT,ARRONDISSEMENT_GEO,LIN_CODE_POSTAL,DDS_DATE_CREATION,UNITE_RESP_PARENT
42,depot000,-73.62920073617674,45.60628890216235,0.4211759606128048,0.5328511561975801,0,True,,,,,,,,,,,,
42,17-191965,-73.6397093205167,45.596858220741005,0.18624987088784137,0.32202227210771384,0,False,1276444.0,Requete,Subvention - Habitation - Service central,Adresse,avenue Garon,,,Montréal-Nord,Montréal-Nord,H1H3T7,2017-06-16T12:52:04,SERVICE DE L URBANISME ET DE LA MOBILITÉ
42,19-207203,-73.64091023042792,45.58709750249212,0.15940276566151018,0.10381520472965608,0,False,2097391.0,Requete,Parc - Propreté,Adresse,avenue de Rome,,,Montréal-Nord,Montréal-Nord,H1H4P2,2019-06-24T10:14:01,MONTREAL-NORD
42,18-69978,-73.605342346,45.611708952,0.9545454545456132,0.6540198191955496,0,False,1946633.0,Requete,Retour DDS,Intersection,,boulevard Henri-Bourassa,boulevard Albert-Hudon,Montréal-Nord,Montréal-Nord,,2018-03-06T09:33:30,MONTREAL-NORD
42,18-196094,-73.63486435398984,45.60886240273637,0.2945621805369747,0.5903833990955354,0,False,1689296.0,Requete,Permis animalier,Adresse,avenue Brunet,,,Montréal-Nord,Montréal-Nord,H1G5G8,2018-06-21T16:28:45,MONTREAL-NORD
42,18-189508,-73.62644136669718,45.61287724236617,0.4828634211658958,0.6801376937358139,0,False,1682036.0,Requete,Fuite d'eau,Adresse,boulevard Lacordaire,,,Montréal-Nord,Montréal-Nord,H1G4L2,2018-06-18T11:57:31,MONTREAL-NORD
42,19-296757,-73.62336753396225,45.62254134221365,0.5515809078913975,0.8961847952705027,0,False,2195585.0,Requete,Ouverture d'entrée d'eau,Adresse,boulevard Léger,,,Montréal-Nord,Montréal-Nord,H1G1L3,2019-09-10T13:53:03,MONTREAL-NORD
42,17-18889,-73.62022157003756,45.61607764081646,0.6219109332625585,0.7516846375643307,0,False,1273046.0,Requete,Parc - Divers,Installation,boulevard Rolland,,,Montréal-Nord,Montréal-Nord,,2017-01-16T13:28:13,MONTREAL-NORD
42,19-119392,-73.62398687167148,45.60188361657399,0.5377352193057269,0.4343681937057954,0,False,2000922.0,Requete,Parc demande interne divers,Adresse,avenue Salk,,,Montréal-Nord,Montréal-Nord,H1G4Y3,2019-04-10T10:05:04,MONTREAL-NORD
42,17-311775,-73.63115646906553,45.61722100725781,0.3774543074151902,0.7772453219058714,0,False,1408381.0,Requete,Collecte de branches d'arbre - Agrile du frêne,Adresse,boulevard Lacordaire,,,Montréal-Nord,Montréal-Nord,H1G4L8,2017-09-26T11:34:48,MONTREAL-NORD
42,17-196921,-73.64600729939899,45.587761094425886,0.045454545454704294,0.1186502246647143,0,False,1281894.0,Requete,Collecte de branches d'arbre - Agrile du frêne,Adresse,avenue de Cobourg,,,Montréal-Nord,Montréal-Nord,H1H4X4,2017-06-20T16:48:38,MONTREAL-NORD
